"output_id","logical_output","selected_authority","source_input","production_script","configuration","launcher","environment","validation_rule","expected_dimensions","expected_values","reproduction_command","reproducibility_status"
"OL011","strict18 alpha .001 fingerprint","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/Forensic_Finalization_v3_20260813_083903/Final_Activity_v4_20260813_084842/Full_Tissue_HR_v1_20260813_085417/Expanded58_Full_Tissue_HR_v2_20260813_123324/Strict18_Fingerprint_v1_20260813_124501/POOLED_PARENT_KETAMINE_FINGERPRINT_ALPHA_0p001_V1.csv [sha256=653D384BD2D1AC790DCDF101E1E1DC07B8B3DFECC95D992B29C376886604E387]","OL010","src/cardozo_ketamine_hr/fingerprint.py; src/cardozo_ketamine_hr/portable.py","one-sided upper GESD; alpha=.001; ddof=1; rmax=floor(.10*1044)=104; deterministic tie handling","launchers/run_reproduction.ps1 -Mode Verify","Python 3; numpy; scipy; pandas","independent implementation QA=PASS; exact call count and call set","19 call rows","12 distinct targets; 11 distinct tissues","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL012","strict18 alpha .0001 fingerprint","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/Forensic_Finalization_v3_20260813_083903/Final_Activity_v4_20260813_084842/Full_Tissue_HR_v1_20260813_085417/Expanded58_Full_Tissue_HR_v2_20260813_123324/Strict18_Fingerprint_v1_20260813_124501/POOLED_PARENT_KETAMINE_FINGERPRINT_ALPHA_0p0001_V1.csv [sha256=18C7F33DC9079FBFC8F00B16C4EAD20F8DAD5601DF60E556F99CCCA1DB1E7F64]","OL010","src/cardozo_ketamine_hr/fingerprint.py; src/cardozo_ketamine_hr/portable.py","one-sided upper GESD; alpha=.0001; ddof=1; rmax=104","launchers/run_reproduction.ps1 -Mode Verify","Python 3; numpy; scipy; pandas","independent implementation QA=PASS; strict call set subset of alpha .001","14 call rows","14 calls exactly","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL013","whole-body alpha .001 fingerprint","PROJECT_ROOT/manuscript_figures/Ketamine_whole_body_fingerprint/03_WHOLE_BODY_CALL_TABLES/KETAMINE_WHOLE_BODY_FINGERPRINT_ALPHA_0p001.csv [sha256=F4080415A189842AB9698CEAA4A88F4804E3455AA8CE339016DF424807AA2002]","OL009 plus OL010-OL012 CNS smoke-test authorities","src/cardozo_ketamine_hr/fingerprint.py; src/cardozo_ketamine_hr/portable.py; src/cardozo_ketamine_hr/upstream/whole_body_fingerprint_authority.py","same governed one-sided upper GESD; alpha=.001; ddof=1; rmax=floor(.10*4466)=446","launchers/run_reproduction.ps1 -Mode Verify","Python 3.12; numpy; pandas; scipy; matplotlib; pyarrow","CNS_SMOKE_TEST=19/14 before full-body run; QC_RESULTS.status=PASS","59 call rows","43 distinct targets; 36 distinct tissues","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","RECONSTRUCTED_AND_VALIDATED"
"OL014","whole-body alpha .0001 fingerprint","PROJECT_ROOT/manuscript_figures/Ketamine_whole_body_fingerprint/03_WHOLE_BODY_CALL_TABLES/KETAMINE_WHOLE_BODY_FINGERPRINT_ALPHA_0p0001.csv [sha256=51A0E09A71869075D1C35DC1EEAA1E04171B22107B6654B90EDFF7CE22E7B649]","OL009 plus CNS smoke-test authorities","src/cardozo_ketamine_hr/fingerprint.py; src/cardozo_ketamine_hr/portable.py; src/cardozo_ketamine_hr/upstream/whole_body_fingerprint_authority.py","same governed one-sided upper GESD; alpha=.0001; ddof=1; rmax=446","launchers/run_reproduction.ps1 -Mode Verify","Python 3.12; numpy; pandas; scipy; matplotlib; pyarrow","CNS smoke test; strict subset; QC_RESULTS.status=PASS","38 call rows","38 calls exactly","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","RECONSTRUCTED_AND_VALIDATED"
"OL015","strict18 all-compound profile authority","PROJECT_ROOT/04_KETAMINE_VS_DRUGS/Pooled_Parent_Ketamine_Complete_Comparative_Analysis_20260813_182544/00_RUN_CONTROL/CACHED_MATRICES/ALL_COMPOUND_PROFILES_STRICT18_LONG.csv [sha256=5A3974F72A37CC7C35824C2E795F054F3EDCCA87B02CACEFF7A1D36868C31CC4]","OL010-OL012; prior S-ketamine profile authority; external common-scale authority; E7 appended during final audit","src/cardozo_ketamine_hr/family_completion.py; src/cardozo_ketamine_hr/portable.py","parameters.yaml; compound_aliases.yaml; frozen class registry","launchers/run_reproduction.ps1 -Mode Verify","Python 3.12.10; Windows 11; CPU float64; BLAS threads=1","protected input hashes; exact profile roster; query manifest","40698 long rows x 32 columns; cached base matrices 30 profiles x 1368 features","final global roster becomes 35 after five E7 numeric profiles are appended","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL016","ketamine-family all-pair metrics","PROJECT_ROOT/04_KETAMINE_VS_DRUGS/Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547/04_COMPLETED_FAMILY_PAIRWISE/KETAMINE_FAMILY_ALL_PAIR_METRICS_FINAL.csv [sha256=FF279F96CB5B8C7FBF64370ADD496E91E45DBCE69268D2C1C156ECE10DDA142A]","10 numerical family profiles from OL015 and two status-only identities","src/cardozo_ketamine_hr/pairwise_continuous.py; src/cardozo_ketamine_hr/pairwise_fingerprint.py; src/cardozo_ketamine_hr/portable.py","minimum continuous support=20 features and 2 targets; zero only for tested noncall; NA preserved","launchers/run_reproduction.ps1 -Mode Verify","Python 3.12.10; numpy; pandas; scipy","45 unique unordered pairs; independent pairwise QA","45 rows","S-vs-R shared=11 Jaccard=.9166667 sparse cosine=.9721184; pooled-vs-S shared=10 Jaccard=.4761905; pooled-vs-R shared=9 Jaccard=.4285714","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL017","global all-drug pair metrics","PROJECT_ROOT/04_KETAMINE_VS_DRUGS/Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547/07_NUMERICAL_INTEGRITY_AUDIT/ALL_UNORDERED_DRUG_PAIR_METRICS_FINAL.csv [sha256=1E5B037A76F4E25C745C9952E0CE31108FF64936FFF696A5B1BAF8006A603AC7]","25 external profiles plus 10 numerical family profiles","src/cardozo_ketamine_hr/pairwise_continuous.py; src/cardozo_ketamine_hr/pairwise_fingerprint.py; src/cardozo_ketamine_hr/portable.py","same pairwise contracts as OL016; unchanged external edges reused","launchers/run_reproduction.ps1 -Mode Verify","Python 3.12.10; numpy; pandas; scipy","exact 35-profile roster; no duplicate unordered pairs; audit PASS","35 profiles; 595 unordered pairs","435 source edges reused; 160 affected edges recomputed","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL018","global fingerprint similarity matrices","PROJECT_ROOT/04_KETAMINE_VS_DRUGS/Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547/06_UPDATED_GLOBAL_MODELS/GLOBAL_ALPHA001_CALL_JACCARD_MATRIX.csv [sha256=D6F7C9E00A968563BC32629A8DAFC753306D8D827669143952A0162580C48A03]; GLOBAL_ALPHA0001_CALL_JACCARD_MATRIX.csv [sha256=D6CC5D8F8A504BC583A85F70C0B6A7C410A679F99755662A7F16505CE2C55503]; GLOBAL_ALPHA001_SIGNED_SPARSE_COSINE_MATRIX.csv [sha256=1E01C759DC6C8439037C018026F1F107346BEA92AF0F9E23B8CE562009163055]","OL015; OL017","src/cardozo_ketamine_hr/pairwise_fingerprint.py; src/cardozo_ketamine_hr/portable.py","signed calls; tested noncalls=0; untested=NA","launchers/run_reproduction.ps1 -Mode Verify","Python 3.12.10; numpy; pandas","symmetry; diagonal; roster and finite-value audits","three 35 x 35 matrices","all matrix audits PASS","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL019","family joint and complete-case PCA","PROJECT_ROOT/04_KETAMINE_VS_DRUGS/Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547/05_COMPLETED_FAMILY_MULTIVARIATE/FAMILY_JOINT_CONTINUOUS_PCA_SCORES.csv [sha256=BB49FA37D0F70C30B1DB6E6A0A55C720251237CA21D458C8AF7827AA6310CEC5]; FAMILY_COMPLETE_CASE_PCA_SCORES.csv [sha256=BA1CB4E6BB6D8FCD492CC68A0ED8713E32965545703A452FC9B53091EA4B1ADA]","10 family continuous profiles","src/cardozo_ketamine_hr/multivariate.py; final_audit.py; figures.py","joint EM-SVD max_iter=300 tol=1e-8; complete-case SVD PCA; requested PCs=2 without forcing rank","launchers/run_reproduction.ps1 -Mode Verify","Python 3.12.10; numpy; pandas; scipy; scikit-learn","coordinate and loading audits; explicit convergence status","joint input 10 x 636 rank 9; complete-case input 10 x 18 rank 7","joint PASS_WITH_LIMITATION for inherited nonconvergence; complete-case PASS","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL020","family target and shared-target PCA","PROJECT_ROOT/04_KETAMINE_VS_DRUGS/Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547/05_COMPLETED_FAMILY_MULTIVARIATE/FAMILY_TARGET_LEVEL_PCA_SCORES.csv [sha256=386970FC1B291D9DFC471370EF79B7E02E40A3B145126EAAC6E771F1203F319E]; FAMILY_SHARED_TARGET_PCA_SCORES.csv [sha256=23E051B12E16325FE2F15C3889635B499460F33E042F87D55CC2717F0E5A4D17]","10 family profiles aggregated by target; shared finite targets","src/cardozo_ketamine_hr/multivariate.py; final_audit.py; figures.py","target means; EM-SVD for incomplete target matrix; rank-respecting component count","launchers/run_reproduction.ps1 -Mode Verify","same as OL019","rank and coordinate audits","target input 10 x 38 rank 9; shared-target input 10 x 1 rank 1","target PASS_WITH_LIMITATION; shared-target PASS with exactly one PC","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL021","family sparse-call PCA","PROJECT_ROOT/04_KETAMINE_VS_DRUGS/Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547/05_COMPLETED_FAMILY_MULTIVARIATE/FAMILY_SPARSE_ALPHA001_PCA_SCORES.csv [sha256=0CEE2C04BF7C7C64B84E387E01257396800DA5238B3D5B15440438727C4463DB]; FAMILY_SPARSE_ALPHA0001_PCA_SCORES.csv [sha256=27F2BC339253DB0C16C60B796451C0D1521C2EC7C4C258884B68CA5E8C0B264D]","10 family signed sparse-call profiles","src/cardozo_ketamine_hr/multivariate.py; final_audit.py; figures.py","tested noncalls=0; missing remains NA; EM-SVD","launchers/run_reproduction.ps1 -Mode Verify","same as OL019","coordinate/loading audits; explicit nonconvergence limitation","alpha .001 input 10 x 17 rank 9; alpha .0001 input 10 x 15 rank 9","both PASS_WITH_LIMITATION for 300-iteration EM-SVD ceiling","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL022","family RMS ordination and clustering","PROJECT_ROOT/04_KETAMINE_VS_DRUGS/Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547/05_COMPLETED_FAMILY_MULTIVARIATE/FAMILY_RMS_DISTANCE_MATRIX.csv [sha256=508AB47DEB46F85EFADF5E7083DEAF7E3D61D457B4FC6BCD32D4A8D97F01D6DD]; FAMILY_RMS_PCOA_COORDINATES.csv [sha256=CCC012F481389A592263532DE88F28E38C5305F02BCC581747A407D07E23340D]; FAMILY_WEIGHTED_MDS_COORDINATES.csv [sha256=3D41139D331A3B9967B1132FD0FD7A81FF2CC5B96CCCF7470A6B484E16AC47E1]; FAMILY_AVERAGE_LINKAGE.csv [sha256=9ED5927D053549B3E566BC25C45472E57569B83C75658409E7DB5A8D1596D346]","OL016 continuous distances","src/cardozo_ketamine_hr/multivariate.py; figures.py; final_audit.py","PCoA; sklearn MDS seed=20260813 n_init=8 max_iter=1000; average linkage","launchers/run_reproduction.ps1 -Mode Verify","same as OL019","finite symmetric distance matrix; deterministic coordinates within tolerance; linkage coverage","10 x 10 RMS; 10 PCoA points; 10 MDS points; 9 linkage rows","all PASS","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL023","global fixed-reference PCA","PROJECT_ROOT/04_KETAMINE_VS_DRUGS/Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547/06_UPDATED_GLOBAL_MODELS/GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv [sha256=79CCCB4DFA80C0FFB6F135AE31D5462939EB193A3D95B96AF5C4A922775749C0]","25 external common-scale references; 10 family query profiles","src/cardozo_ketamine_hr/multivariate.py; final_audit.py; figures.py","reference EM-SVD axes; WLS query projection; reference_axes_refit_with_query=False","launchers/run_reproduction.ps1 -Mode Verify","same as OL019","tests/test_fixed_reference_projection.py; reference coordinate invariance","reference matrix 25 x 468 rank 24; score table 35 rows","25 references plus 10 projected family profiles; PASS_WITH_LIMITATION for inherited EM-SVD nonconvergence","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
"OL024","global joint and target-level PCA","PROJECT_ROOT/04_KETAMINE_VS_DRUGS/Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547/06_UPDATED_GLOBAL_MODELS/GLOBAL_JOINT_CONTINUOUS_PCA_SCORES.csv [sha256=27160D736BEE860F8AE20A26453EF69AE452DE1F4F0F51991E35C03F397B093E]; GLOBAL_TARGET_LEVEL_PCA_SCORES.csv [sha256=55667CABC905528EB66C39E20C7C3E16C436196755E07FD9B86F1068F1BCC191]","35 global continuous profiles","src/cardozo_ketamine_hr/multivariate.py; final_audit.py; figures.py","EM-SVD max_iter=300 tol=1e-8; target means","launchers/run_reproduction.ps1 -Mode Verify","same as OL019","coordinate/loading audits; explicit convergence status","joint input 35 x 779 rank 34; target input 35 x 45 rank 34","both PASS_WITH_LIMITATION; global complete-case and shared-target PCA explicitly NOT_ESTIMABLE","pwsh .\launchers\run_reproduction.ps1 -Mode Verify","FULLY_REPRODUCIBLE"
