source_repo_path	public_repo_path	role	upstream_source	source_version_or_retrieval_date	original_redistribution_status	public_decision	license_or_terms	citation_required	reason	replacement_or_acquisition_method	sha256
PUBLICATION_REPOSITORY_AUDIT.md		ORIGINAL_DOCUMENTATION_OR_LICENSE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REMOVE	NOT_REDISTRIBUTED	NO	Source-era release, provenance-sanitization, or superseded metadata is not public release content	Replaced by public release documentation where applicable	9333CB84CC7281C0C3536AB554471E92CD747585CCC65CF866E41D1DAFAE1652
README.md	README.md	ORIGINAL_DOCUMENTATION_OR_LICENSE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	08FFAE34613AADCBDD0E1B6D33815BACD31D143C2E113685FD282B966F23C8E9
RELEASE_NOTES.md	RELEASE_NOTES.md	ORIGINAL_DOCUMENTATION_OR_LICENSE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	684E86A988A3389BFD72108C3AA74432F5380868EF8C1E924A059F5E9E9B7A5E
SHA256SUMS.txt	SHA256SUMS.txt	PROJECT_METADATA_OR_AUDIT_EVIDENCE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	SEE_PUBLIC_RELEASE_MANIFEST
audits/CLEAN_CLONE_VALIDATION.md		ORIGINAL_DOCUMENTATION_OR_LICENSE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REMOVE	NOT_REDISTRIBUTED	NO	Source-era release, provenance-sanitization, or superseded metadata is not public release content	Replaced by public release documentation where applicable	EC84DD7B5D3275B0F67056C4D6AFA253877BEEFF3C10A04869DE2E05EDCCF6AB
audits/CODE_INVENTORY.csv	audits/CODE_INVENTORY.csv	PROJECT_METADATA_OR_AUDIT_EVIDENCE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	D85DA7A059637783A7C6F3E2BD7352C19416E6B1A8A7E1186E63FC2D1DD044D4
audits/OUTPUT_CODE_LINEAGE.csv	audits/OUTPUT_CODE_LINEAGE.csv	PROJECT_METADATA_OR_AUDIT_EVIDENCE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	KEEP	MIT	NO	Byte-identical approved artifact	None	D3D65E2809F2553824DF1B7E836FEF3E9699C2C51ABB298CB407B7AD236A98C5
audits/RELEASE_VALIDATION.md		ORIGINAL_DOCUMENTATION_OR_LICENSE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REMOVE	NOT_REDISTRIBUTED	NO	Source-era release, provenance-sanitization, or superseded metadata is not public release content	Replaced by public release documentation where applicable	18EA6CCC2F8D022905399C1E1248713BA30A98157FBFEE188D7F861C0D607FF5
audits/REPOSITORY_CONTENT_AUDIT.md	audits/REPOSITORY_CONTENT_AUDIT.md	ORIGINAL_DOCUMENTATION_OR_LICENSE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	SEE_PUBLIC_RELEASE_MANIFEST
audits/SOURCE_SELECTION_RECORD.md	audits/SOURCE_SELECTION_RECORD.md	ORIGINAL_DOCUMENTATION_OR_LICENSE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	DA01B4027BD2D9BE966F1F8F61BA790B17CA9305379F07244E17C43C5E55FB80
audits/SOURCE_SNAPSHOT_MANIFEST.tsv	audits/SOURCE_SNAPSHOT_MANIFEST.tsv	PROJECT_METADATA_OR_AUDIT_EVIDENCE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	KEEP	MIT	NO	Byte-identical approved artifact	None	689CED60961EF51E7414A6871C19EE85CD5C4A281FBE61F2E27EE46866113894
audits/UPSTREAM_REPRODUCIBILITY_BOUNDARIES.csv	audits/UPSTREAM_REPRODUCIBILITY_BOUNDARIES.csv	PROJECT_METADATA_OR_AUDIT_EVIDENCE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	C87149AC1FBE7E75636D9189FF9C959996FEA25599982C93082EDFC676D25CE3
audits/UPSTREAM_REPRODUCIBILITY_BOUNDARIES.md	audits/UPSTREAM_REPRODUCIBILITY_BOUNDARIES.md	ORIGINAL_DOCUMENTATION_OR_LICENSE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	KEEP	MIT	NO	Byte-identical approved artifact	None	DDCB7D3FC8F8180C0784CC170E9205C41654D20E62D54E37B3B3778966073EF2
configs/analysis_registry.yaml	configs/analysis_registry.yaml	ORIGINAL_CONFIGURATION	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	63CED959C6B0C61520997F0F3A332359AEF2DA98460FE05B904FFA9FCC725F0B
configs/compounds.yaml	configs/compounds.yaml	ORIGINAL_CONFIGURATION	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	39C3F8ED65B07D2007FE461CAA0EA63661E64069A5D476CB0BBA4B6F84C88CC0
configs/governed_parameters.yaml	configs/governed_parameters.yaml	ORIGINAL_CONFIGURATION	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	73095C18D650450F9934F8D57592823923568AFD7738E366BE6A076B94264DF3
configs/reference_drugs.yaml	configs/reference_drugs.yaml	ORIGINAL_CONFIGURATION	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	94B677D3D47AB6D1F1765079875088C8B0FE1CAA141D58F665BEFDBE927C6563
configs/tissues_cns18.yaml	configs/tissues_cns18.yaml	ORIGINAL_CONFIGURATION	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	51A8B843CAE944AB35FD1A3EBFBBC937D41F4323A7AF652D0F7FD94DF4AB2BB8
configs/tissues_full77.yaml	configs/tissues_full77.yaml	ORIGINAL_CONFIGURATION	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	9041CCCEDE49B5BA0A841DB58B3D8CEC47A444F95C788D6D2FC12DE6B542FD20
data/frozen/core/pooled_expression58.parquet	data/fixtures/	GOVERNED_DATA_OR_METADATA	Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline	Missing38_Expression_Recovery_Audit_v1_20260813_100740	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	D8A917357EE506AAA8F3280921F631177B872E11FBF83456CEF64A07A44F1C04
data/frozen/core/pooled_full77_hr.parquet	data/fixtures/	GOVERNED_DATA_OR_METADATA	Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline	Expanded58_Full_Tissue_HR_v2_20260813_123324	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	2D406BB6D5CF6C48DCC1805F2E812681856A14785E43C32A5A9ADE7FDE437DF3
data/frozen/core/pooled_missing_expression.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline	Missing38_Expression_Recovery_Audit_v1_20260813_100740	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	ECABEBD514AB2001C8E5886BDB35FCB1CD8CAAF03F423AAADC1522F2C594DEB0
data/frozen/core/pooled_strict18_calls_alpha0001.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline	Strict18_Fingerprint_v1_20260813_124501	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	18C7F33DC9079FBFC8F00B16C4EAD20F8DAD5601DF60E556F99CCCA1DB1E7F64
data/frozen/core/pooled_strict18_calls_alpha001.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline	Strict18_Fingerprint_v1_20260813_124501	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	653D384BD2D1AC790DCDF101E1E1DC07B8B3DFECC95D992B29C376886604E387
data/frozen/core/pooled_strict18_hr.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline	Strict18_Fingerprint_v1_20260813_124501	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	48027602E0A9E63D48977BEA885155CD36D5826C773231F8CC38116354781BD8
data/frozen/core/pooled_target_activity.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline	Final_Activity_v4_20260813_084842	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	7C23FC0ED80FF6E460F753F778BDB744AFB3FA12F0EA11215E95760849E3B15C
data/frozen/core/pooled_target_activity_summary.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline	Final_Activity_v4_20260813_084842	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	6EC9E988065783E925DAC4AD50A606766A15819F86D63378979B2D6BBDF7BDDC
data/frozen/e7/calls_alpha0001.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Five-metabolite exploratory profile release (historical source label E7)	Final_Audit_And_Freeze_20260813_191547	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	6A0BE7D1F47B202E8AE1226428F17104C69F5351FE0A750563AEB080BEE74BBB
data/frozen/e7/calls_alpha001.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Five-metabolite exploratory profile release (historical source label E7)	Final_Audit_And_Freeze_20260813_191547	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	9C36972ADF598D04C23FC74EECC410ACEBB84B7D75DD6F7636A2D9F6357864AE
data/frozen/e7/common_rhr.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Five-metabolite exploratory profile release (historical source label E7)	Final_Audit_And_Freeze_20260813_191547	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	ED5042917ECA6C7BA0F6D111B76E11EC57FAEEFBBB96966D45F022553CD01642
data/frozen/e7/identity_accounting.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Five-metabolite exploratory profile release (historical source label E7)	Final_Audit_And_Freeze_20260813_191547	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	5BDFCF93983EB8E92822719DB4DBA01FE2A23DD138AEF64CE479797EF4DC2BFE
data/frozen/e7/numeric_compounds.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Five-metabolite exploratory profile release (historical source label E7)	Final_Audit_And_Freeze_20260813_191547	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	D7957C711DDE86B91495D09AC92B204B8CC72B76AA5C59B427652C198435BA06
data/frozen/e7/raw_hr.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Five-metabolite exploratory profile release (historical source label E7)	Final_Audit_And_Freeze_20260813_191547	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	2CBDA7BE0E359990439E795E8A0803978A34CC12D15CF717099055374E39D8F9
data/frozen/metadata/class_membership.csv	data/frozen/metadata/class_membership.csv	GOVERNED_DATA_OR_METADATA	Exact-protein feature dictionary and descriptive class registry	Pooled_Parent_Ketamine_Complete_Comparative_Analysis_20260813_182544	PRIVATE_ONLY_PENDING_REVIEW	KEEP	CC-BY-SA-4.0 project data terms; upstream rights retained	YES	Byte-identical approved artifact	None	51C98F45A172FCD1EBCCCC9CF2651AA9762435CB768F293DC2E1F559972FDF74
data/frozen/metadata/feature_dictionary.parquet	data/fixtures/	GOVERNED_DATA_OR_METADATA	Exact-protein feature dictionary and descriptive class registry	Human_Priority_Mammalian_Fallback_U1_Fingerprint_Authority_20260807_051641_664	PRIVATE_ONLY_PENDING_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	C118155941DBD00E01ECBB99FB5577D419C0EE8A157ED6788DC2B0316CBF3281
data/frozen/profiles/all_compound_profiles_strict18_long.csv	data/fixtures/	GOVERNED_DATA_OR_METADATA	Ketamine-family and psychoactive-reference comparative analysis	Pooled_Parent_Ketamine_Complete_Comparative_Analysis_20260813_182544	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	5A3974F72A37CC7C35824C2E795F054F3EDCCA87B02CACEFF7A1D36868C31CC4
data/frozen/profiles/prior_calls_alpha0001.parquet	data/fixtures/	GOVERNED_DATA_OR_METADATA	Ketamine-family and psychoactive-reference comparative analysis	Pooled_Parent_Ketamine_Complete_Comparative_Analysis_20260813_182544	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	023380CCF50E709E566972DE7A09478C837088E97DCDEBB3732768CAF1303FC7
data/frozen/profiles/prior_calls_alpha001.parquet	data/fixtures/	GOVERNED_DATA_OR_METADATA	Ketamine-family and psychoactive-reference comparative analysis	Pooled_Parent_Ketamine_Complete_Comparative_Analysis_20260813_182544	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	88CAF367CB35583188CEFE2FED7D9DB43C767EA6368DC7CA7BA3491C2E00170E
data/frozen/profiles/prior_external_profiles.parquet	data/fixtures/	GOVERNED_DATA_OR_METADATA	Ketamine-family and psychoactive-reference comparative analysis	Pooled_Parent_Ketamine_Complete_Comparative_Analysis_20260813_182544	PRIVATE_ONLY_PENDING_SOURCE_LICENSE_REVIEW	REPLACE_WITH_SYNTHETIC_FIXTURE	NOT_REDISTRIBUTED; upstream-specific terms remain controlling	YES	Redistribution basis was unclear or source-mixed, so the governed input is excluded	Supply the exact external file described by EXTERNAL_INPUT_MANIFEST.tsv for Verify/Full; Smoke uses synthetic fixtures	06878111F984A76902B5B61D6DC3F6D981A39504923BE8C3F65174537CCC8868
