analysis_id,representation,method,status,sample_count,feature_count,matrix_rank,estimable_components,explained_variance,missingness_handling,seed,fixed_reference_query_independent,no_forced_PC2,input_roster,audit_status,notes
GLOBAL_COMPLETE_CASE_PCA,strict18_common_rhr,COMPLETE_CASE_SVD_PCA,NOT_ESTIMABLE,,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,,PASS,No estimable complete-case PCA matrix
GLOBAL_TARGET_LEVEL_PCA,target_mean_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,35.0,45.0,34.0,2.0,0.9926131533187987,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
GLOBAL_SHARED_TARGET_PCA,complete_case_target_mean_common_rhr,SHARED_TARGET_COMPLETE_CASE_PCA,NOT_ESTIMABLE,,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,,PASS,No estimable complete-case PCA matrix
GLOBAL_SPARSE_ALPHA001_PCA,alpha001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,35.0,30.0,23.0,2.0,0.9546591518616964,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
GLOBAL_SPARSE_ALPHA0001_PCA,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,35.0,25.0,19.0,2.0,0.9531429676955034,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
GLOBAL_FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,25.0,468.0,24.0,2.0,0.9753390349249782,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin,PASS,EM-SVD did not meet convergence tolerance; point estimate retained
GLOBAL_RMS_PCOA,pairwise_rms,PCOA,PASS_WITH_LIMITATION,21.0,,12.0,2.0,0.85051867308528,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Fluoxetine; Duloxetine; Venlafaxine; Propofol; Dexmedetomidine; Clozapine; Chlorpromazine; Sertraline; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Ziprasidone; PCP; Valproate; Hydroxyketamine, generic E7 identity",PASS,"Distance ordination uses complete finite subset, n=21/35; excluded profiles are listed"
GLOBAL_WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS_WITH_LIMITATION,21.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Fluoxetine; Duloxetine; Venlafaxine; Propofol; Dexmedetomidine; Clozapine; Chlorpromazine; Sertraline; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Ziprasidone; PCP; Valproate; Hydroxyketamine, generic E7 identity",PASS,"Distance ordination uses complete finite subset, n=21/35; excluded profiles are listed"
GLOBAL_AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS_WITH_LIMITATION,21.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Fluoxetine; Duloxetine; Venlafaxine; Propofol; Dexmedetomidine; Clozapine; Chlorpromazine; Sertraline; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Ziprasidone; PCP; Valproate; Hydroxyketamine, generic E7 identity",PASS,"Hierarchical clustering uses complete finite subset, n=21/35; excluded profiles are listed"
ANALGESICS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS,4.0,450.0,3.0,2.0,0.9999999999999996,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",PASS,
ANALGESICS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,4.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",PASS,Fewer than three numerical external reference compounds
ANALGESICS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS,4.0,25.0,3.0,2.0,1.0,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",PASS,
ANALGESICS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,4.0,5.0,3.0,2.0,1.0,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",PASS,
ANALGESICS__RMS_PCOA,pairwise_rms,PCOA,PASS,3.0,,1.0,1.0,1.0,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Morphine",PASS,
ANALGESICS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,3.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Morphine",PASS,
ANALGESICS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,3.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Morphine",PASS,
ANESTHETIC_SEDATIVE__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,4.0,540.0,3.0,2.0,0.9999958491545664,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ANESTHETIC_SEDATIVE__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,4.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",PASS,Fewer than three numerical external reference compounds
ANESTHETIC_SEDATIVE__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS,4.0,30.0,3.0,2.0,0.999999999999999,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",PASS,
ANESTHETIC_SEDATIVE__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,4.0,4.0,1.0,1.0,1.0,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",PASS,
ANESTHETIC_SEDATIVE__RMS_PCOA,pairwise_rms,PCOA,PASS,4.0,,2.0,2.0,1.0,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",PASS,
ANESTHETIC_SEDATIVE__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,4.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",PASS,
ANESTHETIC_SEDATIVE__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,4.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",PASS,
ANTIDEPRESSANTS_BROAD__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,10.0,666.0,9.0,2.0,0.9986629870164452,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Dextromethorphan; Duloxetine; Fluoxetine; Mirtazapine; Scopolamine; Sertraline; Venlafaxine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ANTIDEPRESSANTS_BROAD__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,8.0,324.0,7.0,2.0,0.9995862921256162,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,Bupropion; Dextromethorphan; Duloxetine; Fluoxetine; Mirtazapine; Scopolamine; Sertraline; Venlafaxine,PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ANTIDEPRESSANTS_BROAD__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,10.0,37.0,9.0,2.0,0.9994275483617931,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Dextromethorphan; Duloxetine; Fluoxetine; Mirtazapine; Scopolamine; Sertraline; Venlafaxine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ANTIDEPRESSANTS_BROAD__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,10.0,10.0,8.0,2.0,0.9935923139225784,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Dextromethorphan; Duloxetine; Fluoxetine; Mirtazapine; Scopolamine; Sertraline; Venlafaxine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ANTIDEPRESSANTS_BROAD__RMS_PCOA,pairwise_rms,PCOA,PASS,7.0,,4.0,2.0,0.9643378322165734,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",PASS,
ANTIDEPRESSANTS_BROAD__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,7.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",PASS,
ANTIDEPRESSANTS_BROAD__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,7.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",PASS,
ANTIPSYCHOTICS_BROAD__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,10.0,720.0,9.0,2.0,0.9581137473027634,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ANTIPSYCHOTICS_BROAD__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,8.0,450.0,7.0,2.0,0.9400508821226026,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone,PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ANTIPSYCHOTICS_BROAD__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,10.0,40.0,9.0,2.0,0.9671192918504242,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ANTIPSYCHOTICS_BROAD__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,10.0,17.0,9.0,2.0,0.872327375359418,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ANTIPSYCHOTICS_BROAD__RMS_PCOA,pairwise_rms,PCOA,PASS,10.0,,7.0,2.0,0.8908744038452945,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,
ANTIPSYCHOTICS_BROAD__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,10.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,
ANTIPSYCHOTICS_BROAD__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,10.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,
ATYPICAL_ANTIPSYCHOTICS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,8.0,702.0,7.0,2.0,0.9671944875867292,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Clozapine; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ATYPICAL_ANTIPSYCHOTICS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,6.0,432.0,5.0,2.0,0.922441416731678,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,Aripiprazole; Clozapine; Olanzapine; Quetiapine; Risperidone; Ziprasidone,PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ATYPICAL_ANTIPSYCHOTICS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,8.0,39.0,7.0,2.0,0.9663081456951016,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Clozapine; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ATYPICAL_ANTIPSYCHOTICS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,8.0,15.0,7.0,2.0,0.7941560238812069,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Clozapine; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
ATYPICAL_ANTIPSYCHOTICS__RMS_PCOA,pairwise_rms,PCOA,PASS,8.0,,6.0,2.0,0.8857252406088182,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Clozapine; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,
ATYPICAL_ANTIPSYCHOTICS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,8.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Clozapine; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,
ATYPICAL_ANTIPSYCHOTICS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,8.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Clozapine; Olanzapine; Quetiapine; Risperidone; Ziprasidone",PASS,
DISSOCIATIVE_NMDA_CONTEXT__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,4.0,468.0,3.0,2.0,0.9999475229628276,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; PCP",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
DISSOCIATIVE_NMDA_CONTEXT__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,4.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; PCP",PASS,Fewer than three numerical external reference compounds
